Time,dni_target,dni_predict
2021-04-25 09:10:00,291.18,204.94
2021-04-25 09:15:00,398.48,266.15
2021-04-25 09:20:00,528.64,313.21
2021-04-25 09:25:00,599.07,412.18
2021-04-25 09:30:00,632.52,403.63
2021-04-25 09:35:00,586.99,430.58
2021-04-25 09:40:00,563.72,435.79
2021-04-25 09:45:00,304.6,440.16
2021-04-25 09:50:00,401.92,346.91
2021-04-25 09:55:00,465.22,289.1
2021-04-25 10:00:00,442.8,317.99
2021-04-25 10:05:00,504.75,394.93
2021-04-25 10:10:00,530.02,314.07
2021-04-25 10:15:00,518.49,480.8
2021-04-25 10:20:00,198.19,431.14
2021-04-25 10:25:00,102.25,124.36
2021-04-25 10:30:00,513.05,8.87
2021-04-25 10:35:00,78.64,319.01
2021-04-25 10:40:00,78.13,-96.41
2021-04-25 10:45:00,54.69,-82.91
2021-04-25 10:50:00,23.93,19.21
2021-04-25 10:55:00,21.64,-7.06
2021-04-25 11:00:00,1.08,-166.67
2021-04-25 11:05:00,1.07,-98.85
2021-04-25 11:10:00,1.07,-120.45
2021-04-25 11:15:00,1.06,-171.61
2021-04-25 11:20:00,79.61,-142.68
2021-04-25 11:25:00,5.29,-26.96
2021-04-25 11:30:00,92.97,-48.97
2021-04-25 11:35:00,1.05,-24.14
2021-04-25 11:40:00,1.05,-65.63
2021-04-25 11:45:00,1.05,-16.36
2021-04-25 11:50:00,15.78,-52.23
2021-04-25 11:55:00,13.67,-137.87
2021-04-25 12:00:00,3.16,-25.73
2021-04-25 12:05:00,1.05,-51.8
2021-04-25 12:10:00,21.08,-172.77
2021-04-25 12:15:00,77.08,-75.1
2021-04-25 12:20:00,449.65,-49.07
2021-04-25 12:25:00,388.18,79.42
2021-04-25 12:30:00,28.72,100.12
2021-04-25 12:35:00,16.01,24.4
2021-04-25 12:40:00,15.0,116.15
2021-04-25 12:45:00,1.08,83.38
2021-04-25 12:50:00,1.08,192.12
2021-04-25 12:55:00,1.09,115.54
2021-04-25 13:00:00,155.05,201.37
2021-04-25 13:05:00,2.2,89.23
2021-04-25 13:10:00,3.32,0.4
2021-04-25 13:15:00,11.13,58.06
2021-04-25 13:20:00,2.24,69.5
2021-04-25 13:25:00,30.51,-2.08
2021-04-25 13:30:00,14.81,-102.66
2021-04-25 13:35:00,3.45,-65.08
2021-04-25 13:40:00,2.32,123.07
2021-04-25 13:45:00,0.0,16.61
2021-04-25 13:50:00,466.13,-204.95
2021-04-25 13:55:00,32.29,-48.71
2021-04-25 14:00:00,44.75,41.44
