Time,ghi_target,ghi_predict
2021-04-25 09:10:00,568.0,524.665
2021-04-25 09:15:00,667.0,582.2611
2021-04-25 09:20:00,770.0,628.26697
2021-04-25 09:25:00,834.0,715.5724
2021-04-25 09:30:00,862.0,689.5359
2021-04-25 09:35:00,828.0,730.1999
2021-04-25 09:40:00,821.0,725.3519
2021-04-25 09:45:00,581.0,710.1999
2021-04-25 09:50:00,690.0,644.8287
2021-04-25 09:55:00,783.0,612.1089
2021-04-25 10:00:00,766.0,662.9506
2021-04-25 10:05:00,831.0,731.1157
2021-04-25 10:10:00,904.0,678.1555
2021-04-25 10:15:00,960.0,863.8402
2021-04-25 10:20:00,730.0,824.5994
2021-04-25 10:25:00,650.0,592.7408
2021-04-25 10:30:00,1085.0,525.1079
2021-04-25 10:35:00,616.0,748.34827
2021-04-25 10:40:00,574.0,416.1731
2021-04-25 10:45:00,569.0,437.25174
2021-04-25 10:50:00,549.0,546.5101
2021-04-25 10:55:00,558.0,510.96832
2021-04-25 11:00:00,558.0,374.29306
2021-04-25 11:05:00,532.0,430.83356
2021-04-25 11:10:00,539.0,439.27774
2021-04-25 11:15:00,596.0,390.75375
2021-04-25 11:20:00,745.0,429.09872
2021-04-25 11:25:00,545.0,564.90063
2021-04-25 11:30:00,655.0,504.7434
2021-04-25 11:35:00,505.0,510.40436
2021-04-25 11:40:00,380.0,433.64273
2021-04-25 11:45:00,441.0,403.37137
2021-04-25 11:50:00,377.0,381.5572
2021-04-25 11:55:00,363.0,258.0318
2021-04-25 12:00:00,406.0,336.1666
2021-04-25 12:05:00,467.0,342.89633
2021-04-25 12:10:00,408.0,268.94193
2021-04-25 12:15:00,581.0,331.07123
2021-04-25 12:20:00,1008.0,435.9034
2021-04-25 12:25:00,906.0,555.54565
2021-04-25 12:30:00,393.0,580.6592
2021-04-25 12:35:00,351.0,422.5848
2021-04-25 12:40:00,409.0,483.69342
2021-04-25 12:45:00,289.0,475.27472
2021-04-25 12:50:00,299.0,484.232
2021-04-25 12:55:00,396.0,408.37085
2021-04-25 13:00:00,611.0,575.12463
2021-04-25 13:05:00,369.0,488.79956
2021-04-25 13:10:00,394.0,345.495
2021-04-25 13:15:00,323.0,417.9204
2021-04-25 13:20:00,295.0,392.52554
2021-04-25 13:25:00,387.0,300.88446
2021-04-25 13:30:00,350.0,254.01857
2021-04-25 13:35:00,329.0,268.94742
2021-04-25 13:40:00,386.0,404.3303
2021-04-25 13:45:00,521.0,372.5974
2021-04-25 13:50:00,1002.0,291.6026
2021-04-25 13:55:00,459.0,442.54224
2021-04-25 14:00:00,433.0,505.83505
2021-04-25 14:05:00,350.0,361.80814
2021-04-25 14:10:00,275.0,369.7524
2021-04-25 14:15:00,241.0,356.93277
2021-04-25 14:20:00,225.0,283.26236
2021-04-25 14:25:00,259.0,213.54718
2021-04-25 14:30:00,271.0,289.43594
2021-04-25 14:35:00,275.0,311.37814
2021-04-25 14:40:00,290.0,307.90042
2021-04-25 14:45:00,300.0,357.0695
2021-04-25 14:50:00,297.0,312.71664
2021-04-25 14:55:00,280.0,305.26028
2021-04-25 15:00:00,261.0,342.10452
2021-04-25 15:05:00,243.0,368.9692
2021-04-25 15:10:00,225.0,253.39731
2021-04-25 15:15:00,210.0,242.37662
2021-04-25 15:20:00,198.0,221.27734
2021-04-25 15:25:00,185.0,197.6979
2021-04-25 15:30:00,176.0,194.72336
2021-04-25 15:35:00,175.0,201.46465
2021-04-25 15:40:00,184.0,203.29903
2021-04-25 15:45:00,205.0,234.53094
2021-04-25 15:50:00,226.0,180.40244
2021-04-25 15:55:00,241.0,208.36319
2021-04-25 16:00:00,247.0,249.56532
2021-04-25 16:05:00,262.0,206.95741
2021-04-25 16:10:00,305.0,207.1669
2021-04-25 16:15:00,358.0,243.75243
2021-04-25 16:20:00,373.0,280.15964
2021-04-25 16:25:00,241.0,206.29652
2021-04-25 16:30:00,203.0,219.73885
2021-04-25 16:35:00,335.0,185.16623
2021-04-25 16:40:00,290.0,236.83711
2021-04-25 16:45:00,185.0,132.98242
2021-04-25 16:50:00,160.0,130.63557
2021-04-25 16:55:00,148.0,79.20501
2021-04-25 17:00:00,116.0,104.57442
2021-04-25 17:05:00,94.0,65.044266
2021-04-25 17:10:00,94.0,83.89261
2021-04-25 17:15:00,104.0,88.356476
2021-04-25 17:20:00,101.0,67.13151
2021-04-25 17:25:00,97.0,93.91963
2021-04-25 17:30:00,90.0,83.87815
2021-05-09 09:10:00,717.0,753.92725
2021-05-09 09:15:00,739.0,791.69336
2021-05-09 09:20:00,781.0,764.7008
2021-05-09 09:25:00,760.0,792.06525
2021-05-09 09:30:00,767.0,771.1244
2021-05-09 09:35:00,775.0,783.0725
2021-05-09 09:40:00,788.0,805.69714
2021-05-09 09:45:00,789.0,821.4834
2021-05-09 09:50:00,815.0,822.6035
2021-05-09 09:55:00,812.0,797.28864
2021-05-09 10:00:00,831.0,775.8573
2021-05-09 10:05:00,799.0,818.6564
2021-05-09 10:10:00,827.0,818.968
2021-05-09 10:15:00,838.0,840.44165
2021-05-09 10:20:00,865.0,849.4396
2021-05-09 10:25:00,857.0,881.2583
2021-05-09 10:30:00,863.0,894.11896
2021-05-09 10:35:00,853.0,844.7109
2021-05-09 10:40:00,871.0,881.3453
2021-05-09 10:45:00,892.0,910.8818
2021-05-09 10:50:00,881.0,891.71234
2021-05-09 10:55:00,907.0,906.25055
2021-05-09 11:00:00,901.0,874.638
2021-05-09 11:05:00,917.0,871.4728
2021-05-09 11:10:00,950.0,891.1635
2021-05-09 11:15:00,994.0,946.78107
2021-05-09 11:20:00,893.0,916.14813
2021-05-09 11:25:00,893.0,832.318
2021-05-09 11:30:00,907.0,860.0187
2021-05-09 11:35:00,860.0,830.9682
2021-05-09 11:40:00,843.0,806.6797
2021-05-09 11:45:00,889.0,851.8634
2021-05-09 11:50:00,890.0,820.3093
2021-05-09 11:55:00,907.0,882.1573
2021-05-09 12:00:00,942.0,901.17456
2021-05-09 12:05:00,926.0,914.22363
2021-05-09 12:10:00,963.0,847.2499
2021-05-09 12:15:00,902.0,867.5528
2021-05-09 12:20:00,901.0,852.0333
2021-05-09 12:25:00,957.0,777.32446
2021-05-09 12:30:00,971.0,905.58527
2021-05-09 12:35:00,906.0,953.1881
2021-05-09 12:40:00,949.0,827.596
2021-05-09 12:45:00,947.0,897.17535
2021-05-09 12:50:00,913.0,859.2672
2021-05-09 12:55:00,913.0,880.2279
2021-05-09 13:00:00,893.0,877.3816
2021-05-09 13:05:00,603.0,787.32556
2021-05-09 13:10:00,852.0,748.0746
2021-05-09 13:15:00,939.0,861.1231
2021-05-09 13:20:00,916.0,851.5987
2021-05-09 13:25:00,779.0,875.58234
2021-05-09 13:30:00,810.0,764.8761
2021-05-09 13:35:00,820.0,836.7354
2021-05-09 13:40:00,756.0,861.2892
2021-05-09 13:45:00,775.0,820.8648
2021-05-09 13:50:00,820.0,765.9563
2021-05-09 13:55:00,819.0,816.4086
2021-05-09 14:00:00,794.0,728.1566
2021-05-09 14:05:00,815.0,919.93976
2021-05-09 14:10:00,793.0,844.6198
2021-05-09 14:15:00,769.0,742.77625
2021-05-09 14:20:00,782.0,707.0299
2021-05-09 14:25:00,724.0,768.58264
2021-05-09 14:30:00,697.0,731.11206
2021-05-09 14:35:00,688.0,750.7725
2021-05-09 14:40:00,678.0,673.02765
