Time,dni_target,dni_predict
2021-04-25 09:10:00,291.18,295.74
2021-04-25 09:11:00,335.53,340.41
2021-04-25 09:12:00,355.72,324.57
2021-04-25 09:13:00,369.18,322.51
2021-04-25 09:14:00,358.81,355.66
2021-04-25 09:15:00,398.48,330.84
2021-04-25 09:16:00,437.92,350.14
2021-04-25 09:17:00,441.84,350.93
2021-04-25 09:18:00,443.13,318.11
2021-04-25 09:19:00,489.91,358.96
2021-04-25 09:20:00,528.64,378.06
2021-04-25 09:21:00,506.44,393.13
2021-04-25 09:22:00,550.07,393.77
2021-04-25 09:23:00,565.2,432.19
2021-04-25 09:24:00,595.63,420.42
2021-04-25 09:25:00,599.07,421.47
2021-04-25 09:26:00,622.88,453.91
2021-04-25 09:27:00,642.76,438.04
2021-04-25 09:28:00,501.66,456.99
2021-04-25 09:29:00,534.41,463.75
2021-04-25 09:30:00,632.52,417.24
2021-04-25 09:31:00,655.97,456.13
2021-04-25 09:32:00,654.24,446.92
2021-04-25 09:33:00,670.03,465.04
2021-04-25 09:34:00,668.29,510.89
2021-04-25 09:35:00,586.99,486.69
2021-04-25 09:36:00,485.02,436.87
2021-04-25 09:37:00,535.76,476.51
2021-04-25 09:38:00,622.05,434.89
2021-04-25 09:39:00,586.04,432.02
2021-04-25 09:40:00,563.72,428.31
2021-04-25 09:41:00,328.34,419.16
2021-04-25 09:42:00,147.89,418.52
2021-04-25 09:43:00,226.79,453.3
2021-04-25 09:44:00,229.9,457.88
2021-04-25 09:45:00,304.6,381.89
2021-04-25 09:46:00,352.32,396.06
2021-04-25 09:47:00,303.19,395.91
2021-04-25 09:48:00,288.04,330.51
2021-04-25 09:49:00,424.47,380.31
2021-04-25 09:50:00,401.92,396.99
2021-04-25 09:51:00,361.53,406.61
2021-04-25 09:52:00,361.93,453.16
2021-04-25 09:53:00,412.39,387.41
2021-04-25 09:54:00,474.54,408.56
2021-04-25 09:55:00,465.22,347.55
2021-04-25 09:56:00,517.53,412.19
2021-04-25 09:57:00,485.72,414.83
2021-04-25 09:58:00,476.46,407.25
2021-04-25 09:59:00,463.71,396.24
2021-04-25 10:00:00,442.8,325.69
2021-04-25 10:01:00,471.22,360.3
2021-04-25 10:02:00,388.39,348.74
2021-04-25 10:03:00,442.5,399.94
2021-04-25 10:04:00,485.92,374.0
2021-04-25 10:05:00,504.75,406.08
2021-04-25 10:06:00,504.95,430.52
2021-04-25 10:07:00,502.84,355.39
2021-04-25 10:08:00,372.38,407.79
2021-04-25 10:09:00,500.97,455.95
2021-04-25 10:10:00,530.02,440.15
2021-04-25 10:11:00,565.86,440.82
2021-04-25 10:12:00,523.52,413.97
2021-04-25 10:13:00,564.99,355.16
2021-04-25 10:14:00,497.65,401.63
2021-04-25 10:15:00,518.49,426.99
2021-04-25 10:16:00,478.84,439.32
2021-04-25 10:17:00,278.85,404.0
2021-04-25 10:18:00,201.12,463.13
2021-04-25 10:19:00,214.4,416.98
2021-04-25 10:20:00,198.19,363.71
2021-04-25 10:21:00,99.5,365.34
2021-04-25 10:22:00,13.55,307.34
2021-04-25 10:23:00,25.92,247.3
2021-04-25 10:24:00,41.64,249.34
2021-04-25 10:25:00,102.25,222.69
2021-04-25 10:26:00,88.63,173.85
2021-04-25 10:27:00,80.66,171.52
2021-04-25 10:28:00,176.73,180.83
2021-04-25 10:29:00,549.53,145.99
2021-04-25 10:30:00,513.05,133.2
2021-04-25 10:31:00,512.31,122.03
2021-04-25 10:32:00,35.59,51.7
2021-04-25 10:33:00,1.11,32.12
2021-04-25 10:34:00,23.29,132.15
2021-04-25 10:35:00,78.64,147.43
2021-04-25 10:36:00,129.41,161.72
2021-04-25 10:37:00,37.56,91.41
2021-04-25 10:38:00,7.72,100.11
2021-04-25 10:39:00,42.97,58.48
2021-04-25 10:40:00,78.13,78.92
2021-04-25 10:41:00,120.89,76.99
2021-04-25 10:42:00,218.44,44.96
2021-04-25 10:43:00,145.82,65.92
2021-04-25 10:44:00,78.84,65.6
2021-04-25 10:45:00,54.69,97.6
2021-04-25 10:46:00,41.52,112.92
2021-04-25 10:47:00,9.82,180.96
2021-04-25 10:48:00,21.8,126.19
2021-04-25 10:49:00,28.31,67.88
2021-04-25 10:50:00,23.93,55.65
2021-04-25 10:51:00,28.25,60.42
2021-04-25 10:52:00,33.65,65.88
2021-04-25 10:53:00,44.45,13.06
2021-04-25 10:54:00,58.49,-2.6
2021-04-25 10:55:00,21.64,42.59
2021-04-25 10:56:00,2.16,26.04
2021-04-25 10:57:00,1.08,87.15
2021-04-25 10:58:00,0.0,77.8
2021-04-25 10:59:00,1.08,4.54
2021-04-25 11:00:00,1.08,58.26
2021-04-25 11:01:00,0.0,51.72
2021-04-25 11:02:00,1.08,5.18
2021-04-25 11:03:00,1.07,-15.19
2021-04-25 11:04:00,1.07,-11.67
2021-04-25 11:05:00,1.07,3.88
2021-04-25 11:06:00,0.0,53.59
2021-04-25 11:07:00,1.07,90.23
2021-04-25 11:08:00,1.07,104.49
2021-04-25 11:09:00,1.07,49.36
2021-04-25 11:10:00,1.07,53.39
2021-04-25 11:11:00,1.07,95.54
2021-04-25 11:12:00,1.07,67.1
2021-04-25 11:13:00,1.07,50.48
2021-04-25 11:14:00,1.07,73.07
2021-04-25 11:15:00,1.06,98.7
2021-04-25 11:16:00,4.26,46.04
2021-04-25 11:17:00,17.01,33.79
2021-04-25 11:18:00,12.75,75.35
2021-04-25 11:19:00,47.79,49.51
2021-04-25 11:20:00,79.61,12.82
2021-04-25 11:21:00,208.99,12.37
2021-04-25 11:22:00,80.58,49.44
2021-04-25 11:23:00,31.79,10.62
2021-04-25 11:24:00,10.59,-11.48
2021-04-25 11:25:00,5.29,34.76
2021-04-25 11:26:00,1.06,42.14
2021-04-25 11:27:00,14.81,20.83
2021-04-25 11:28:00,65.55,12.18
2021-04-25 11:29:00,81.38,58.45
2021-04-25 11:30:00,92.97,39.34
2021-04-25 11:31:00,38.02,76.9
2021-04-25 11:32:00,12.67,94.43
2021-04-25 11:33:00,0.0,75.72
2021-04-25 11:34:00,2.11,104.2
2021-04-25 11:35:00,1.05,56.9
2021-04-25 11:36:00,1.05,28.65
2021-04-25 11:37:00,8.43,55.56
2021-04-25 11:38:00,2.11,33.21
2021-04-25 11:39:00,9.48,18.33
2021-04-25 11:40:00,1.05,-18.29
2021-04-25 11:41:00,10.53,58.78
2021-04-25 11:42:00,15.79,85.33
2021-04-25 11:43:00,14.74,88.43
2021-04-25 11:44:00,0.0,156.74
2021-04-25 11:45:00,1.05,81.34
2021-04-25 11:46:00,10.52,27.65
2021-04-25 11:47:00,8.42,121.2
2021-04-25 11:48:00,13.68,89.04
2021-04-25 11:49:00,16.83,157.58
2021-04-25 11:50:00,15.78,119.04
2021-04-25 11:51:00,8.41,123.46
2021-04-25 11:52:00,11.57,94.06
2021-04-25 11:53:00,21.03,89.63
2021-04-25 11:54:00,14.72,87.81
2021-04-25 11:55:00,13.67,68.25
2021-04-25 11:56:00,2.1,31.74
2021-04-25 11:57:00,1.05,1.96
2021-04-25 11:58:00,1.05,92.01
2021-04-25 11:59:00,1.05,79.47
2021-04-25 12:00:00,3.16,102.06
2021-04-25 12:01:00,3.16,134.52
2021-04-25 12:02:00,1.05,76.95
2021-04-25 12:03:00,0.0,113.02
2021-04-25 12:04:00,1.05,79.35
2021-04-25 12:05:00,1.05,73.34
2021-04-25 12:06:00,0.0,70.49
2021-04-25 12:07:00,12.64,22.76
2021-04-25 12:08:00,17.91,31.91
2021-04-25 12:09:00,25.29,53.2
2021-04-25 12:10:00,21.08,9.37
2021-04-25 12:11:00,20.03,31.96
2021-04-25 12:12:00,13.71,44.66
2021-04-25 12:13:00,25.32,-12.2
2021-04-25 12:14:00,118.21,52.96
2021-04-25 12:15:00,77.08,108.08
2021-04-25 12:16:00,40.14,53.19
2021-04-25 12:17:00,25.36,104.31
2021-04-25 12:18:00,53.91,44.75
2021-04-25 12:19:00,221.02,148.1
2021-04-25 12:20:00,449.65,97.19
2021-04-25 12:21:00,83.62,74.47
2021-04-25 12:22:00,4.24,103.18
2021-04-25 12:23:00,133.5,83.11
2021-04-25 12:24:00,548.04,80.66
2021-04-25 12:25:00,388.18,67.13
2021-04-25 12:26:00,675.96,174.61
2021-04-25 12:27:00,522.38,231.95
2021-04-25 12:28:00,3.19,176.44
2021-04-25 12:29:00,11.69,198.04
2021-04-25 12:30:00,28.72,165.89
